company,job_title,location,posted_date,stipend
Cosmos Staffing Solutions,Customer Acquisition Associate,Noida,2 days ago,"₹ 3,50,000 - 5,00,000"
91Squarefeet,Sales Development Representative (Female),Gurgaon,2 days ago,"₹ 3,00,000 - 4,00,000"
Vicharak Computers LLP,Embedded Firmware Developer,Surat,1 day ago,"₹ 4,00,000 - 6,00,000"
Crystal Hues Limited,Project Management Trainee,Bangalore,2 days ago,"₹ 2,00,000 - 2,50,000"
Mindenious Edutech,Inside Sales Specialist,Chennai,Few hours ago,"₹ 4,00,000 - 6,00,000"
Playto Labs,Business Development Associate,Bangalore,2 days ago,"₹ 2,50,000 - 3,00,000"
Born High Digital,Junior Social Media Marketing Executive,Bangalore,2 days ago,"₹ 3,00,000 - 4,00,000"
Exquisite Employee Manifest,CAD Designer,Gurgaon,2 days ago,"₹ 4,00,000 - 8,00,000"
CloudBird Digital Private Limited,Junior Recruiter,Noida,1 day ago,"₹ 2,00,000"
Akaaro,Corporate Sales Executive,Gurgaon,2 days ago,"₹ 3,00,000 - 5,00,000"
Playto Labs,Business Development Associate - Fresher,Bangalore,2 days ago,"₹ 2,00,000 - 3,00,000"
FreshBay,Customer Service Associate,Delhi,,"₹ 2,00,000 - 2,40,000"
Cosmo Solutions Private Limited,Facebook Marketing Executive,Gurgaon,2 days ago,"₹ 2,00,000 - 3,00,000"
Break The Code,Influencer Marketing Associate,Mumbai,2 days ago,"₹ 2,00,000 - 2,40,000"
Rudralife,Social Media Strategist/PR Specialist,Mumbai,2 days ago,"₹ 5,00,000"
VinnovateLabz,Human Resources (HR) Executive - Female,Bangalore,2 days ago,"₹ 2,40,000 - 4,50,000"
Crystal Hues Limited,Customer Success Executive (Website And Application Sales),Bangalore,2 days ago,"₹ 2,00,000 - 2,50,000"
UniAcco,Sales Operation Executive,Mumbai,2 days ago,"₹ 3,00,000 - 3,60,000"
Crystal Hues Limited,Customer Success Executive (Product Sales),Bangalore,2 days ago,"₹ 2,00,000 - 2,50,000"
MentorBoxx,Customer Service Executive,Gurgaon,2 days ago,"₹ 2,00,000 - 3,00,000"
Break The Code,Digital Marketing Associate,Mumbai,2 days ago,"₹ 2,00,000 - 3,00,000"
